TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude
1,11420000,TRÊS BOCAS,,-3.9917,-68.9528
1,44960000,ITAMIRIM (Fazenda Pitombeiras),DL-02,-14.7672,-42.8867
1,48280000,CHORROCHÓ,,-8.9728,-39.0914
1,25090000,FAZENDA PACIÊNCIA,ANA,-15.9147,-50.1278
1,14490000,FAZENDA FONTE NOVA,,3.45,-61.5
1,14526000,BONFIM,,3.3847,-59.8083
1,14540000,FAZENDA BANDEIRA BRANCA,ANA,4.6306,-60.4706
1,39095100,ABREU E LIMA,TB-30,-7.9122,-34.8875
1,50496500,BARRAGEM DO MEDRADO,IT0030,-10.9544,-39.5814
1,51460800,PONTE BR-116 -  Posto Policial,PRG-JCP-600,-12.2856,-39.0011
1,55150200,PONTE BR-101 - Rio Buranhem,FBS-BRH-300,-16.4133,-39.5872
1,39188700,SÃO LOURENÇO DA MATA - BARRAGEM,CB-72,-7.9992,-35.0328
1,39189000,PARQUE DE SANTANA,CB-90,-8.0422,-34.9164
1,75330000,CGH PIRAPO MONTANTE 3,,-28.1833,-54.8667
1,86372000,CGH SALTINHO JUSANTE,,-28.65,-51.4167
1,45282000,RIO CARINHANHA - FOZ,CRN-CRN-700,-14.3369,-43.7853
1,45900000,PONTE RIO CORRENTE,CT 2550,-13.5444,-44.1981
1,47770500,BARRAGEM -  ESCADA DE ACESSO,SF 2650,-9.4397,-40.8317
1,13155000,CODAJÁS,,-3.8447,-62.0611
1,13580000,FAZENDA SANTO AFONSO,,-10.0908,-67.9006
1,13710001,VALPARAÍSO - MONTANTE,,-8.6533,-67.375
1,14200000,FAZENDA BOM JARDIM,,-3.1833,-59.9
1,14280000,TARAQUA,,0.1303,-68.5386
1,14485010,MISSÃO AUARIS - JUSANTE,ANA,4.0031,-64.4431
1,14530000,VILA SURUMU,ANA,4.1961,-60.7939
1,14880000,BARURI,ANA,-2.0253,-61.5417
1,39095600,CONJUNTO HABITACIONAL DA MUMBECA,PA-25,-7.9381,-34.8625
1,39200500,BARRAGEM DA COMPESA,PP-50,-8.2336,-34.9583
1,39098300,FABRICA DA ANTÁRTICA,BE-35,-8.0039,-34.8889
1,41171001,REPRESA RIO DE PEDRAS (corpo Barragem),AV030E,-20.2228,-43.7406
1,41171002,REPRESA RIO DE PEDRAS (corpo Barragem),AV030F,-20.2228,-43.7406
1,49706000,UHE XINGÓ PROPRIÁ,,-10.2142,-36.825
1,39170500,MONTANTE DA USINA TIUMA,CB60,-7.9814,-35.0789
1,64366500,ETA - JACAREZINHO,,-23.2153,-50.0089
1,44765000,SERRANÓPOLIS,DL-11,-15.8197,-42.8372
1,44850100,FAZENDA SANTA MARTA,DL-03,-14.8564,-42.7522
1,75173000,CGH CASCATA ANDORINHAS MONTANTE 2,,-28.5,-53.6667
1,71383500,PONTE ALTA DO SUL (PERY MONTANTE),,-27.4525,-50.3911
1,86445500,PCH JARARACA ALÇA,,-28.9386,-51.4483
1,72350100,CGH USINA DO POSTO,,-28.1303,-51.6264
1,12900000,TEFÉ,,-3.3936,-64.6344
1,13160000,FAZENDA CANAVIAL,,-3.3658,-63.5489
1,14220000,LOURO POÇO,ANA,1.3392,-68.6858
1,14330000,CURICURIARI,ANA,-0.2006,-66.8022
1,14480000,BARCELOS,,-0.9678,-62.9286
1,14750000,MISSÃO CATRIMANI,,1.75,-62.2833
1,14855000,UMANAPANA,,-1.8869,-62.4636
1,14870000,SÃO FRANCISCO,,-1.9833,-62.0667
1,14990000,MANAUS,ANA,-3.1383,-60.0272
1,39440800,USINA ESTRELIANA - AMARAJI,SI-20,-8.495,-35.4483
1,51105500,AÇUDE APERTADO,,-13.0758,-41.4397
1,55741000,PONTE DA BR-101 - Rio Mucuri,MCR-MCR-400,-18.0992,-39.8933
1,50905100,PONTE BA-512 - CANDÉIAS,RCN-JOA-050,-12.5922,-38.5408
1,50905250,PONTE BA-522 - Rio Petecada,RCN-PET-200,-12.675,-38.5081
1,39191500,ENGENHO PITÚ - JUSANTE,PP10,-8.2436,-35.3164
1,39081300,TIMBAÚBA - JUSANTE,GO-15,-7.5186,-35.3039
1,62821000,UHE PROMISSÃO JUSANTE,,-21.3,-49.7833
1,75174000,CGH CASCATA ANDORINHAS MONTANTE 1,,-28.4183,-53.8019
1,83669000,PCH CEDROS BARRAMENTO PINHAL,,-26.615,-49.4056
1,47247000,BARRAGEM DE MIROROS,RV 2100,-10.315,-41.3319
1,50620001,INHAMBUPE - ZONA URBANA,IH0400,-11.7819,-38.3467
1,35552600,AÇUDE CARACAS,043,-4.3911,-39.1878
1,35560000,AÇUDE JERIMUM,121,-3.8369,-39.6906
1,35580000,AÇUDE FRIOS,077,-3.6903,-39.2961
1,35651000,AÇUDE SÍTIOS NOVOS,159,-3.7706,-38.9614
1,35710000,AÇUDE GAVIÃO,095,-3.9061,-38.5558
1,35721000,AÇUDE CAUHIPE,158,-3.7392,-38.8683
1,64230300,PCH JAGUARICATU I JUSANTE,,-24.1822,-49.4908
1,64230400,PCH JAGUARICATU II JUSANTE,,-24.1503,-49.4853
1,17240000,FAZENDA JOÃO E MARCELO,,-13.4353,-57.0181
1,17250000,FAZENDA RECANTO,,-13.7125,-56.0992
1,64884000,ETA - VERA CRUZ DO OESTE,,-25.0758,-53.8931
1,64897500,ETA - MEDIANEIRA,,-25.2908,-54.0797
1,21300100,PCH ALVORADA DO NORTE,,-14.4764,-46.4906
1,60640100,PCH ROCHEDO MONTANTE 2,,-16.6128,-49.2811
1,72860000,PCH SALTO DO LEÃO MONTANTE,,-27.3197,-51.4769
1,55744000,CRISTAL,,-18.0908,-40.1142
1,55746000,PEDRO CANÁRIO (Estância Pico),,-18.2647,-40.0336
1,55747000,ITAUNINHAS  (BR-101),,-18.4122,-39.9364
1,55795000,FAZENDA CACHOEIRA BONITA,,-18.3239,-40.7797
1,55990200,SÃO JORGE DA BARRA SECA,,-18.8494,-40.3381
1,56992700,MUTUM PRETO,,-19.4717,-40.8942
1,56998100,LINHARES,,-19.4153,-40.0756
1,56661000,NOVA ERA TELEMÉTRICA,ANA,-19.7667,-43.0261
1,57175000,CASCATA DO GALO,JUC2C001,-20.3164,-40.6567
1,57180000,MARECHAL FLORIANO (BR-262),JUC2C005,-20.4119,-40.6819
1,57185000,MARECHAL FLORIANO (Ponte Metálica),JUC2C008,-20.4075,-40.6711
